id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
11508,https://www.airbnb.com/rooms/11508,20220922013624,2022-09-22,city scrape,Amazing Luxurious Apt-Palermo Soho,"<b>The space</b><br />LUXURIOUS NEW APT: 1 BDRM- POOL/ GYM/ SPA/ 24-HR SECURITY<br /><br />Palermo Soho, Buenos Aires<br /><br />BUILDING DETAILS<br /><br />Luxury building in the heart of the trendy Palermo Soho<br />24-hour security <br />Outdoor pool <br />FREE Gym and Spa in building (top floor with panoramic view)<br />Lounge/common area for parties and guests with outdoor deck (top floor with panoramic view)<br />Laundry in building <br />Restaurant on building grounds <br />Optional house keeping and room service <br /><br />AREA: PALERMO SOHO<br /><br />Minutes walking distance from most popular bars, restaurants and boutiques<br />Buenos Aires Eco-Park within walking distance<br />Botanical Garden and magnificent park with lake (“Bosques de Palermo”) within walking distance<br />One block from Santa Fe Avenue and “D Line” subway <br />All major bus lines within walking distance<br /><br />APARTMENT DETAILS<br /><br />Fully Furnished 1 bedroom apartment <br />Wifi and Cable TV<","AREA: PALERMO SOHO<br /><br />Minutes walking distance from most popular bars, restaurants and boutiques<br />Buenos Aires Eco-Park within walking distance<br />Botanical Garden and magnificent park with lake (“Bosques de Palermo”) within walking distance<br />One block from Santa Fe Avenue and “D Line” subway <br />All major bus lines within walking distance",https://a0.muscache.com/pictures/19357696/b1de16cb_original.jpg,42762,https://www.airbnb.com/users/show/42762,Candela,2009-10-01,"New York, NY",-,within a few hours,100%,75%,f,https://a0.muscache.com/im/users/42762/profile_pic/1332809447/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/42762/profile_pic/1332809447/original.jpg?aki_policy=profile_x_medium,Palermo,1,2,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Palermo,,-34.58184,-58.42415,Entire condo,Entire home/apt,2,,1 bath,1,1,"[""Shared fenced garden or backyard"", ""Elevator"", ""Drying rack for clothing"", ""Wine glasses"", ""Host greets you"", ""Refrigerator"", ""Shared hot tub - open specific hours"", ""Heating"", ""Dining table"", ""Private entrance"", ""Essentials"", ""Single level home"", ""Bidet"", ""Hangers"", ""Oven"", ""Cleaning products"", ""Outdoor furniture"", ""Freezer"", ""Microwave"", ""Cable TV"", ""Body soap"", ""Air conditioning"", ""Hot water"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Wifi"", ""Dishes and silverware"", ""Shared sauna"", ""Toaster"", ""Gym"", ""Stove"", ""Paid street parking off premises"", ""Shared pool"", ""Long term stays allowed"", ""Iron"", ""Kitchen"", ""Paid washer \u2013 In building"", ""Laundromat nearby"", ""Bathtub"", ""Room-darkening shades"", ""Hair dryer"", ""Bed linens"", ""Safe"", ""Coffee maker"", ""Cooking basics"", ""Private patio or balcony"", ""Clothing storage: dresser and closet"", ""Paid dryer \u2013 In building""]","$9,823.00",3,1125,3,3,1125,1125,3.0,1125.0,,t,0,10,39,314,2022-09-22,30,3,0,2012-07-02,2022-07-17,4.77,4.93,4.86,4.9,4.97,4.93,4.93,,f,1,1,0,0,0.24
118877,https://www.airbnb.com/rooms/118877,20220922013624,2022-09-22,city scrape,Entire Studio/apt in Buenos Aires,"<b>The space</b><br />Inspired by the cultural legacy of wine in Argentina, Wine Suites is a place where travelers can rest easy and comfortable as at home, but at the same time, experience the authentic life of Buenos Aires, where the wine culture is an essential part of country's identity. Located in the exclusive neighborhood of Palermo Hollywood, Wine Suites consists of 3 apartments, Studio Torrontes, and Suites Mabec and Syrah. <br />Torrontes Studio is equipped with full kitchen, dishes and cooking pots, microwave, refrigerator, electric kettle, toaster and coffee maker. It also has air conditioning / heating, satellite TV, Wi-fi, digital safe, hair dryer, linen and a king size bed that can be separated into two twin beds. <br />Wine Suites has a large terrace for common use, with a large table of 3 meters long and a grill to enjoy a delicious barbecue and a good wine with friends.",,https://a0.muscache.com/pictures/777724/21a5357b_original.jpg,600320,https://www.airbnb.com/users/show/600320,Roxana,2011-05-18,"Buenos Aires, Argentina","Vivo en Palermo Hollywood hace mas de 20 años y estoy en el negocio del Real State y B&B desde hace 10 años administrando propiedades destinadas al alquiler temporario.
Conozco muy bien el barrio y siempre dispuesta a recomendar los lugares que me gustan.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/37f1b62d-f69c-4872-8922-9b8681e2b2c0.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/37f1b62d-f69c-4872-8922-9b8681e2b2c0.jpg?aki_policy=profile_x_medium,Palermo,2,11,"['email', 'phone']",t,t,,Palermo,,-34.57734,-58.4379,Entire loft,Entire home/apt,2,,1 bath,1,1,"[""Pack \u2019n play/Travel crib"", ""Refrigerator"", ""Heating"", ""Dining table"", ""Essentials"", ""Bidet"", ""Hangers"", ""Oven"", ""Microwave"", ""Clothing storage: closet"", ""Cable TV"", ""Baking sheet"", ""Air conditioning"", ""Hot water"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Wifi"", ""Dishes and silverware"", ""Children\u2019s books and toys"", ""Toaster"", ""Stove"", ""Jabon body soap"", ""Long term stays allowed"", ""Kitchen"", ""Bathtub"", ""Room-darkening shades"", ""Hair dryer"", ""Crib - available upon request"", ""Bed linens"", ""Coffee maker"", ""Cooking basics"", ""Private garden or backyard"", ""Private patio or balcony"", ""Hot water kettle""]","$5,687.00",2,730,2,2,730,730,2.0,730.0,,t,0,0,0,174,2022-09-22,24,5,0,2011-10-17,2022-06-21,4.63,4.55,4.77,4.77,4.86,4.45,4.64,,t,2,2,0,0,0.18
14222,https://www.airbnb.com/rooms/14222,20220922013624,2022-09-22,city scrape,"RELAX IN HAPPY HOUSE - PALERMO, BUENOS AIRES","Beautiful cozy apartment in excellent location in Palermo.1 lovely bedroom for 2 people.1 functional bathroom w/running hot water.Spacious living room facing a small patio w/plants.Fully-equipped kitchen. One extra space with a single bed (no door not a proper room just a space). Lovely and comfy! :)<br /><br /><b>The space</b><br />ONE BIG BEDROOM <br />One lovely bedroom with a balcony facing the street that accommodates 2 people comfortably. Functional bathroom with running hot water. Spacious living room facing a nice small yard with plants. Fully equipped kitchen. <br />An extra space (no door & no wardrobe) that accommodates an extra person. Ideal for a child.<br /><br />2° FLOOR BY STAIRS IN PALERMO NEIGHBORHOOD<br />You just have to climb two flight of stairs and reach home!<br /><br /><b>Guest access</b><br />LINEN, TOWELS, COFFEE, TEA & SUGAR: We provide clean towels, soap, toilet paper, linen and blankets. We also leave some coffee, sugar, tea and ingredients for you to use.","Palermo is such a perfect place to explore the city. It is really well located for sight seeing, as much as for enjoying peaceful moments, because it´s safe, and riddled with bars, cafes and restaurants.<br /><br />CINEMA, GROCERY & ALTO PALERMO SHOPPING<br />You'll find a cheap chinese market around the corner and if you cross the street you'll find “Disco”, a well-known supermarket chain in Buenos Aires. You'll also find one of the most popular cinemas in town “Cinemark Palermo” and a great grocery with fresh fruit and vegetables. You're also just one block away from “Alto Palermo”, a shopping centre full of stores and restaurants and a big Starbucks' Coffee. There's also a Natural Food Market one block away from home!<br /><br />ENJOY PALERMO!<br />Well, as you can see, you'll be staying in a privileged neighborhood and if you like walking around, you'll come across a coffee store, laundry, natural food market, convenience store open 24 hours, restaurants, and almost anything you ca",https://a0.muscache.com/pictures/4695637/bbae8e87_original.jpg,87710233,https://www.airbnb.com/users/show/87710233,María,2016-08-03,"Buenos Aires, Argentina","Soy Organizadora de Eventos, me gusta relacionarme con las personas y conocer gente nueva.
Siempre que puedo me organizo algún viaje. Disfruto de conocer nuevas culturas y en especial su gastronomía. Los destinos de climas cálidos y playa son los que en general más me gusta visitar.
Así como me gusta viajar y sentirme bien recibida como extranjera, también me gusta recibir viajeros y hacerlos sentir como en su casa durante su estadía en mi país, del cual me siento muy orgullosa. ",N/A,N/A,N/A,f,https://a0.muscache.com/im/pictures/user/dc9d9f11-1085-42b6-8125-ab00504a68b2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/dc9d9f11-1085-42b6-8125-ab00504a68b2.jpg?aki_policy=profile_x_medium,,4,6,"['email', 'phone']",t,t,"Palermo/Buenos Aires, Autonomous City of Buenos Aires, Argentina",Palermo,,-34.58617,-58.41036,Entire rental unit,Entire home/apt,2,,1 bath,1,1,"[""Host greets you"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Hangers"", ""Oven"", ""Paid parking off premises"", ""Microwave"", ""TV"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Dishes and silverware"", ""Stove"", ""Long term stays allowed"", ""Kitchen"", ""Iron"", ""Bathtub"", ""Room-darkening shades"", ""Hair dryer"", ""Coffee maker"", ""Cooking basics"", ""Washer"", ""Private patio or balcony""]","$3,728.00",7,1125,7,7,1125,1125,7.0,1125.0,,t,6,19,49,324,2022-09-22,98,8,0,2012-07-10,2022-08-14,4.77,4.74,4.76,4.78,4.89,4.88,4.73,,f,3,2,1,0,0.79
120874,https://www.airbnb.com/rooms/120874,20220922013624,2022-09-22,city scrape,Great apt 1 Bedroom - 1.5 Bath /Recoleta,"<b>The space</b><br />This great apartment is located in a very nice part of Recoleta. It is 4 blocks from the Recoleta cemetery.  It is an impeccable apartment and has many unique characteristics and attractions like high ceilings, original openings, oak flooring and bathroom with marble, Jacuzzi-tub and amazing sink. The kitchen was specially designed with special custom made furniture.  It has a wonderful view of the intersection of the Pueyrredón Avenue and the classic French street. This is a true 5 star property. Artwork in the living room featured by Anibal Carrillo.<br /><br />It has been completely remodeled so it’s like a brand new apartment.  It has the best of both worlds with old world charm and modern amenities and furniture.  The apartment also has sound-proof windows.<br /><br /> <br /><br />The apartment is professionally designed and features European furniture and all the amenities of home.  It is very spacious with 700 sq. feet of living space. The building is in am",,https://a0.muscache.com/pictures/108877484/5f377dea_original.jpg,530261,https://www.airbnb.com/users/show/530261,Luciano,2011-04-23,"Buenos Aires, Argentina","Hi, I'm Luciano and I'm Argentinian. I was born in Patagonia, but I came to live in this beautiful city many years ago to study at the university. I’ve also lived abroad –in Amsterdam- and travelled all around the world: needless to say…I love to travel.   
I have many passions: sports —running, hikking, tennis and -of course- soccer—, languages, tango and music; literature and cinema. I have friends from many countries and I enjoy hosting and showing them around, as I do with our guests whenever I have the chance.  My family and I offer several apartments in the best parts of town. We have been renting them for more than 16 years! We were one of the first ones in BA to join Airbnb back in 2010. It has been an amazing experience to be part of this comunity and we have had the chance to welcome people from all over the globe. 

Let me know if I can help you with your plans in la Reina del Plata, you are going to love Buenos Aires...
",within a few hours,100%,97%,t,https://a0.muscache.com/im/pictures/user/0cffe5d4-82d1-420f-b688-7d901408dd89.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0cffe5d4-82d1-420f-b688-7d901408dd89.jpg?aki_policy=profile_x_medium,Palermo,28,29,"['email', 'phone']",t,t,,Recoleta,,-34.58991,-58.39931,Entire rental unit,Entire home/apt,4,,1.5 baths,1,1,"[""Elevator"", ""Refrigerator"", ""Heating"", ""Carbon monoxide alarm"", ""Essentials"", ""Hangers"", ""Cable TV"", ""Air conditioning"", ""TV with standard cable"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Long term stays allowed"", ""Kitchen"", ""Iron"", ""Dryer"", ""Hair dryer"", ""Coffee maker"", ""Cooking basics"", ""Washer"", ""Shampoo""]","$6,514.00",14,1125,14,14,1125,1125,14.0,1125.0,,t,0,0,20,295,2022-09-22,10,1,0,2011-06-21,2022-04-27,4.67,4.7,4.7,4.8,4.8,4.8,4.5,,f,27,26,0,0,0.07
122907,https://www.airbnb.com/rooms/122907,20220922013624,2022-09-22,city scrape,Spotless entire apt. Ideal location,"Apartment is situated on 4th floor. There are nice wide views from the balcony. The building is on a famous avenue Boedo with it's wide pedestrian areas full of restaurants, cafes and shops so it's easy to get home late or catcha taxi at any time.<br /><br /><b>The space</b><br />This is a 37m² NEW apartment in the very heart of Buenos Aires. A few metres to the Metro, and to all the main bus lines.<br /><br />The apartment is fully furnished, with cable TV, phone, Fast Wi-Fi connection, microwave, oven, refrigerator, air conditioning, bedclothes, table & kitchen utensils.<br /><br />What you see on the photos is exactly what you will find when you come to the apartment: there are no photoshop tricks here. The place looks bright because it is NEW and immaculate because everything is very clean.<br /><br />The neigbourhood is safe, lively and famous for its tango and theatre performances, historic cafeterias, and restaurants. All of them a few metres from our place.<br /><br />The price","Boedo area is knowen for it's tango places. There are several tango schools and dancing places around. The avenue is full of restaurants, cafes and shops, there are always people in the streets wich makes it cozyer to get home late.",https://a0.muscache.com/pictures/12160576/0b27e725_original.jpg,426566,https://www.airbnb.com/users/show/426566,Egle,2011-03-06,,"I am architect, interested in arts, especially painting.
I love chocolate, Aki Kaurismaki movies, early mornings, photography...

I was trying to decorate our apartments nicely so that your stay would be more pleasant. I am recommending my guests places to visit, things to do. I was traveling around the world some years ago and I understand how stressful it is to look for a place to stay, to orientate in a new city. 

I normally paint all day in my studio so I am quick to respond e-mails. 
Looking forward to hearing from you, 

Egle
",within an hour,100%,100%,t,https://a0.muscache.com/im/users/426566/profile_pic/1299533998/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/426566/profile_pic/1299533998/original.jpg?aki_policy=profile_x_medium,Almagro,8,8,"['email', 'phone']",t,f,"Buenos Aires, Capital Federal, Argentina",Almagro,,-34.61982,-58.4166,Entire rental unit,Entire home/apt,2,,1 bath,1,1,"[""Elevator"", ""Refrigerator"", ""Heating"", ""Carbon monoxide alarm"", ""Essentials"", ""Hangers"", ""Oven"", ""Paid parking off premises"", ""High chair"", ""Microwave"", ""Cable TV"", ""Air conditioning"", ""Hot water"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Free street parking"", ""Stove"", ""Long term stays allowed"", ""Building staff"", ""Kitchen"", ""Bed linens"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Pocket wifi""]","$3,584.00",5,730,5,5,1125,1125,5.0,1125.0,,t,0,19,49,324,2022-09-22,29,8,1,2011-08-11,2022-08-31,4.79,4.93,4.75,4.89,4.86,4.82,4.57,,t,8,8,0,0,0.21
14711,https://www.airbnb.com/rooms/14711,20220922013624,2022-09-22,city scrape,SPECTACULAR ANCIENT HOUSE,"<b>The space</b><br />I offer a big and ancient house in Villa Lia, 18 kms away from San Antonio de Areco. <br />San Antonio de Areco is a very famous rural town, visited by thousands of tourists every weekend. It is located 112 kms from the Capital City of Buenos Aires. <br />Villa Lia is a very quiet and nice town where you can enjoy peace and nature. <br />The house was owned by Villa Lia´s founders, and it is located in front of the train station, just where the town finishes and the country begins. <br />The place has capacity for 12 people. There is a living room, 4 rooms, a big and antique kitchen, a garden with a swimming pool and a grill. <br />The price includes blankets for all guests and a personalized and family attention. <br />This is a great oportunity to live a unique experience in Villa Lía, a typical ‘pueblo’, featuring all the attractions of the pampas rural towns. <br />If you stay for 1 week, the price is USD 700 for the whole house.",,https://a0.muscache.com/pictures/70592/ab124f4e_original.jpg,57770,https://www.airbnb.com/users/show/57770,Cintia,2009-11-26,,"",a few days or more,0%,0%,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,1,3,[],f,f,,San Nicolas,,-34.60786,-58.37211,Entire home/apt,Entire home/apt,3,,,,,"[""Long term stays allowed""]","$17,370.00",1,730,1,1,730,730,1.0,730.0,,t,30,60,90,365,2022-09-22,0,0,0,,,,,,,,,,,f,1,1,0,0,
129681,https://www.airbnb.com/rooms/129681,20220922013624,2022-09-22,previous scrape,Studio Rojo Design Belgrano - 2 Pax,"Wonderful Studio  in Buenos Aires capital city at residential Belgrano district, close to the elegant Barrancas area with its famous round church and the Retiro - Tigre railway station . <br />Located in O'Higgins y Monroe 50 m from a green square.<br /><br /><b>The space</b><br />Wonderful Studio  in Buenos Aires capital city at residential Belgrano district, close to the elegant Barrancas area with its famous round church and the Retiro - Tigre railway station . <br />Located in O'Higgins y Monroe 50 m from a green square, 5 blocks  to Libertador Av. and 4 blocks  to Cabildo Av. commercial center. Near to Di Tella University, to three museums, to the University City , to the river and Palermo district.<br />The contemporary decò is designed on a composition of volumes and colors obtaining a functional atmosphere, glad and versatile. The kitchen space is formed of independent way of the inhabitable space. All the equipment is thought of meticulous way to adapt itself to the different ","Belgrano is a lovely district, open air, nature, a square close to apartment.",https://a0.muscache.com/pictures/826578/2133f3ba_original.jpg,638545,https://www.airbnb.com/users/show/638545,Luisa,2011-05-29,"Buenos Aires, Argentina","Hola,
Me llamo Luisa, me encanta el diseño y la estética.
Me hace feliz que se sientan tan cómodos en mis espacios como en su propia casa y me ocupo de mis propiedades de modo personal haciendo mantenimiento permanente para que todo esté perfecto.
Los departamentos siempre están tal como se ve en la fotos!
Hasta pronto!
Mis Departamentos:
Belgrano:     https://www.airbnb.com.ar/rooms/129681
Palermo:      https://www.airbnb.com.ar/rooms/210302",within a few hours,100%,100%,f,https://a0.muscache.com/im/pictures/user/aa2ca585-0124-43b0-b7e1-63e3bf99cf0e.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/aa2ca585-0124-43b0-b7e1-63e3bf99cf0e.jpg?aki_policy=profile_x_medium,Belgrano,3,3,"['email', 'phone']",t,t,"Ciudad autónoma de Buenos Aires, Buenos Aires, Argentina",Belgrano,,-34.55601,-58.45717,Entire rental unit,Entire home/apt,2,,1 bath,1,2,"[""Elevator"", ""Fire extinguisher"", ""Paid parking on premises"", ""Host greets you"", ""Heating"", ""Essentials"", ""Hangers"", ""TV"", ""Air conditioning"", ""Dedicated workspace"", ""Hot water"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Free street parking"", ""Long term stays allowed"", ""Kitchen"", ""Iron"", ""Hair dryer"", ""Coffee maker"", ""Cooking basics"", ""Private patio or balcony""]","$4,125.00",7,90,7,7,90,90,7.0,90.0,,t,0,1,3,3,2022-09-22,14,0,0,2013-09-17,2018-08-11,4.71,4.86,4.86,5.0,4.93,4.79,4.71,,f,3,3,0,0,0.13
15074,https://www.airbnb.com/rooms/15074,20220922013624,2022-09-22,city scrape,ROOM WITH RIVER SIGHT,"<b>The space</b><br />I OFFER A ROOM IN MY APARTMENT LOCATED IN OLIVOS DISTRICT, 45´ MINUTES TRIP FROM BUENOS AIRES DOWNTOWN. <br />YOU WILL BE ABLE TO ENJOY ITS PEACEFUL VIBRE WITHOUT NOISE AND SMOG. OUR IDEA IS TO GIVE OUR GUESTS A UNIQUE EXPERIENCE, PROVIDING THEM WITH A SPACE WERE TO FEEL CONFORTABLE AND CONFIDENT TO STUDY OR RELAX AFTER WORK.  <br />YOU WILL FIND THE SPACE TO DEVELOP YOUR ACTIVITIES WITH COMFORT AND ALSO ENJOY THE APARTMENT FACILITIES. <br /> <br />- WI-FI INTERNET SERVICE <br />- FULLY EQUIPED KITCHEN <br />- TV/DVD <br />- LAUNDRY SERVICE <br />- BYCICLE LOAN <br />- ACCESS TO AL HOUSE FACILITIES <br />- PEACEFUL AMBIANCE <br /> <br />THE PRICE FOR THE ROOM IS USD 300 FOR A COMPLETE MONTH (MINIMUM STAY REQUIRED)",,https://a0.muscache.com/pictures/91166/c0fdcb4f_original.jpg,59338,https://www.airbnb.com/users/show/59338,Monica,2009-12-02,,"",N/A,N/A,N/A,f,https://a0.muscache.com/defaults/user_pic-50x50.png?v=3,https://a0.muscache.com/defaults/user_pic-225x225.png?v=3,,2,2,[],f,f,,Nuñez,,-34.53892,-58.46599,Private room in rental unit,Private room,1,,1 bath,1,1,"[""TV with standard cable"", ""Wifi"", ""Dryer"", ""Washer"", ""Cable TV"", ""Air conditioning"", ""Heating"", ""Kitchen"", ""Long term stays allowed""]","$4,343.00",29,730,29,29,730,730,29.0,730.0,,t,30,60,90,365,2022-09-22,0,0,0,,,,,,,,,,,f,1,0,1,0,
16695,https://www.airbnb.com/rooms/16695,20220922013624,2022-09-22,city scrape,DUPLEX LOFT 2 - SAN TELMO,"<b>The space</b><br />Spacious duplex loft, 40 m2, has a comfortable living-room , table and chairs for 4.<br />Ideal for 4 people. <br />Located in the heart of San Telmo, 2 blocks away from Defensa street, where you can find many bars, restaurants, art galeries and antique shops. 6 blocks from Puerto Madero, the Ecological Reserve and Plaza Dorrego. 5 blocks from Florida street and Plaza de Mayo, where begining all the subways. <br /><br />The building has some shared places with other lofts: there is a beautiful patio with chairs, tables, a beautiful roof garden with solarium, when you can enjoy relax moment,  meditation, enjoy the sun, moon and stars. <br /><br />WE KNOW THAT YOU WILL ENJOY SO MUCH YOUR STAY IN BA FROM OUR PLACES.<br /><br /><b>Guest access</b><br />The kitchen is integrated into the living-room, and it´s equipped with microwave, electric stove, extractor, fridge, coffee maker, cookware and dishes for 4 people.<br /><br />In the upper level loft is a bedroom with q","San Telmo is one of the best neighborhoods in the city of Buenos Aires, and the way to find out is living a few days in, enjoying its picturesque streets, taking a coffee in one of its notable bars or dining at any of the innumerable restaurants . Visit art galleries, going to museums, explore the Sunday antiques fair on Defensa, or play in a milonga tango dance watching local and why not learn a few steps. Also the weekend has lots of fun. I know many places to eat or get out, but do not recommend them because as long as you walk in my neighborhood I feel like newcomer, I think San Telmo always new things to discover secretly.",https://a0.muscache.com/pictures/619c33a9-0618-4f36-a2c2-1e2ebc1f88cb.jpg,64880,https://www.airbnb.com/users/show/64880,Elbio Mariano,2009-12-21,"Buenos Aires, Argentina","I was borned in Tucuman, but I live in Buenos Aires. 
I am a Master in Management and Tourism Consultancy, and work with my family in Investiment and Sales. 
I love travel around the world and know new cultures. 
I am studying Italian and English. 
I like meditation, I  go to the gym 3 time per week.  
Love read, cinema, tours, series  marathon. I love the mountain and ride on horses.
I used airbnb for same rents when I travel and had very nice experience! 
 
Mariano",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bdeda553-574e-410d-8977-090e7d396a60.jpg?aki_policy=profile_x_medium,Monserrat,10,11,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Monserrat,,-34.61439,-58.37611,Entire loft,Entire home/apt,4,,1 bath,1,1,"[""Fire extinguisher"", ""Host greets you"", ""Refrigerator"", ""Heating"", ""Essentials"", ""Hangers"", ""Backyard"", ""Paid parking off premises"", ""Patio or balcony"", ""Microwave"", ""Cable TV"", ""Air conditioning"", ""Hot water"", ""TV with standard cable"", ""Wifi"", ""Dishes and silverware"", ""Long term stays allowed"", ""Kitchen"", ""Iron"", ""Hair dryer"", ""Cooking basics"", ""Luggage dropoff allowed""]","$7,238.00",2,1125,2,2,1125,1125,2.0,1125.0,,t,0,1,1,175,2022-09-22,46,0,0,2011-03-04,2019-11-30,4.28,4.59,4.29,4.83,4.8,4.39,4.41,,t,9,9,0,0,0.33
129932,https://www.airbnb.com/rooms/129932,20220922013624,2022-09-22,city scrape,Palermo View Studio at Palermo Uno Tower,"Modern studio apartment on the 19th floor with amazing views of the city.<br />Building with 24 hours security, pool, laundry and gym on the 31st floor.<br /><br /><b>The space</b><br />Palermo View is a cut above in more ways than one, lifting you up out of the city to the 19th floor of Palermo Uno the latest addition to the Buenos Aires skyline. Wake up every day to views across fashionable Palermo and beyond. <br />The studio has been carefully designed and decorated to give a sense of freshness and light, with subtle colour's making it the perfect retreat after a long day or night exploring this vibrant city. The 35 sq meters Studio offers a comfortable living space with a Queen bed, lounge area with cream leather sofa, also equipped with a full entertainment system, Flat Screen TV, DVD and Cable, sound system WiFi. <br /><br />To make the best of the view the studio is designed with an ample separate kitchen opening up on to a private balcony perfect for preparing sun down cocktai","If you’re an expat or vacationer spending time in Buenos Aires there’s really no way of avoiding Buenos Aires’ largest barrio (by area), Palermo. Even if you live somewhere else in the city you can guarantee that the vast majority of your expat friends, and probably a good part of your Argentine friends, will live there, and even if they don’t you’ll still want to go there to dine, party and shop.",https://a0.muscache.com/pictures/84563643/9b482d74_original.jpg,319901,https://www.airbnb.com/users/show/319901,Ralf,2010-12-15,"Buenos Aires, Argentina","Although a German national, I have  actually resided outside of my native country for almost half my life. My first ventured abroad to Greece where I  worked in guest relations at a premier hotel in Athens. From there I moved to Sydney, Australia where he held an post as personal assistant to a major politician within the Australian Parliament. Soon, with a desire to be more independent, I followed my instincts and in Sydney I opened, managed and ultimately sold, two very successful natural food and juice bars. It was then, in 2007, When I decided to return to a place which I had visited some years before---BUENOS AIRES, ARGENTINA---and now, it is the place I call home! 
",within a few hours,100%,98%,t,https://a0.muscache.com/im/pictures/user/2990f046-56a1-4fb8-b8b2-175e83916709.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2990f046-56a1-4fb8-b8b2-175e83916709.jpg?aki_policy=profile_x_medium,Palermo,24,29,"['email', 'phone']",t,t,"Buenos Aires, Capital Federal, Argentina",Palermo,,-34.5813,-58.42488,Entire condo,Entire home/apt,2,,1 bath,1,1,"[""Elevator"", ""Drying rack for clothing"", ""Fire extinguisher"", ""Wine glasses"", ""Host greets you"", ""Refrigerator"", ""Heating"", ""Carbon monoxide alarm"", ""Essentials"", ""Bidet"", ""Hangers"", ""Oven"", ""Cleaning products"", ""Patio or balcony"", ""Freezer"", ""Microwave"", ""Clothing storage: closet"", ""Cable TV"", ""Air conditioning"", ""Dedicated workspace"", ""Hot water"", ""TV with standard cable"", ""Wifi"", ""Dishes and silverware"", ""Smoke alarm"", ""Toaster"", ""Gym"", ""Conditioner"", ""Stove"", ""Shared pool"", ""Long term stays allowed"", ""Iron"", ""Kitchen"", ""First aid kit"", ""Paid washer \u2013 In building"", ""Bathtub"", ""Room-darkening shades"", ""Hair dryer"", ""Bed linens"", ""Safe"", ""Sound system"", ""Coffee maker"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Paid dryer \u2013 In building"", ""Shampoo"", ""Hot water kettle""]","$8,788.00",4,180,4,5,1125,1125,4.0,1125.0,,t,9,20,35,310,2022-09-22,119,6,0,2011-07-27,2022-08-08,4.89,4.92,4.94,4.91,4.94,4.88,4.8,,t,24,24,0,0,0.88
